,date,tend,MAdif
2017-12-03 18:56:00+00:00,2017-12-03T18:56:00.000Z,long,-3.0494657134915393
2017-12-04 09:56:00+00:00,2017-12-04T09:56:00.000Z,long,-3.157365260738354
2017-12-05 00:56:00+00:00,2017-12-05T00:56:00.000Z,long,-3.2966537006198005
2017-12-05 15:56:00+00:00,2017-12-05T15:56:00.000Z,long,-2.6766620084469395
2017-12-06 21:56:00+00:00,2017-12-06T21:56:00.000Z,short,2.7548680684116422
2017-12-07 12:56:00+00:00,2017-12-07T12:56:00.000Z,short,3.9591139121172514
2017-12-08 03:56:00+00:00,2017-12-08T03:56:00.000Z,short,4.143664296040905
2017-12-08 18:56:00+00:00,2017-12-08T18:56:00.000Z,short,3.158053394288418
2017-12-09 09:56:00+00:00,2017-12-09T09:56:00.000Z,short,1.355987406316883
2017-12-10 15:56:00+00:00,2017-12-10T15:56:00.000Z,long,-2.9206591131107906
2017-12-11 06:56:00+00:00,2017-12-11T06:56:00.000Z,long,-3.7578709190877913
2017-12-11 21:56:00+00:00,2017-12-11T21:56:00.000Z,long,-4.348122357828066
2017-12-12 12:56:00+00:00,2017-12-12T12:56:00.000Z,long,-6.9246593309817195
2017-12-13 03:56:00+00:00,2017-12-13T03:56:00.000Z,long,-10.065431256247614
2017-12-13 18:56:00+00:00,2017-12-13T18:56:00.000Z,long,-13.51604149421799
2017-12-14 09:56:00+00:00,2017-12-14T09:56:00.000Z,long,-15.877365419132538
2017-12-15 00:56:00+00:00,2017-12-15T00:56:00.000Z,long,-16.602860474687752
2017-12-15 15:56:00+00:00,2017-12-15T15:56:00.000Z,long,-14.655298147149477
2017-12-16 06:56:00+00:00,2017-12-16T06:56:00.000Z,long,-11.371387890067354
2017-12-16 21:56:00+00:00,2017-12-16T21:56:00.000Z,long,-6.782272735450823
2017-12-17 12:56:00+00:00,2017-12-17T12:56:00.000Z,long,-4.451621559531982
2017-12-18 03:56:00+00:00,2017-12-18T03:56:00.000Z,long,-3.2140981901681798
2017-12-18 18:56:00+00:00,2017-12-18T18:56:00.000Z,long,-4.2472711113875405
2017-12-19 09:56:00+00:00,2017-12-19T09:56:00.000Z,long,-4.323420583210691
2017-12-20 00:56:00+00:00,2017-12-20T00:56:00.000Z,long,-5.580281329569936
2017-12-20 15:56:00+00:00,2017-12-20T15:56:00.000Z,long,-6.66406696758628
2017-12-21 06:56:00+00:00,2017-12-21T06:56:00.000Z,long,-5.9023112525045995
2017-12-21 21:56:00+00:00,2017-12-21T21:56:00.000Z,long,-1.1065035494880915
2017-12-23 03:56:00+00:00,2017-12-23T03:56:00.000Z,short,2.7886565934566954
2017-12-23 18:56:00+00:00,2017-12-23T18:56:00.000Z,short,7.728529854982535
2017-12-24 09:56:00+00:00,2017-12-24T09:56:00.000Z,short,9.286995373718309
2017-12-25 00:56:00+00:00,2017-12-25T00:56:00.000Z,short,5.651898640632669
2017-12-25 15:56:00+00:00,2017-12-25T15:56:00.000Z,short,4.418925199150792
2017-12-26 06:56:00+00:00,2017-12-26T06:56:00.000Z,short,1.9963955459689098
2017-12-26 21:56:00+00:00,2017-12-26T21:56:00.000Z,long,-3.179342581550282
2017-12-27 12:56:00+00:00,2017-12-27T12:56:00.000Z,long,-4.967953098839972
2017-12-28 03:56:00+00:00,2017-12-28T03:56:00.000Z,long,-3.5437527851955863
2017-12-28 18:56:00+00:00,2017-12-28T18:56:00.000Z,long,-2.661289866922689
2017-12-29 09:56:00+00:00,2017-12-29T09:56:00.000Z,long,-1.4328434746046614
2017-12-30 00:56:00+00:00,2017-12-30T00:56:00.000Z,short,1.744674138158231
2017-12-30 15:56:00+00:00,2017-12-30T15:56:00.000Z,short,2.3168669806312603
2017-12-31 06:56:00+00:00,2017-12-31T06:56:00.000Z,short,1.1604266826719
2018-01-01 12:56:00+00:00,2018-01-01T12:56:00.000Z,long,-1.2944408054971213
2018-01-02 03:56:00+00:00,2018-01-02T03:56:00.000Z,long,-4.984728400087324
2018-01-02 18:56:00+00:00,2018-01-02T18:56:00.000Z,long,-7.257886994628193
2018-01-03 09:56:00+00:00,2018-01-03T09:56:00.000Z,long,-8.86926105107122
2018-01-04 00:56:00+00:00,2018-01-04T00:56:00.000Z,long,-11.229910880317684
2018-01-04 15:56:00+00:00,2018-01-04T15:56:00.000Z,long,-11.632659258695611
2018-01-05 06:56:00+00:00,2018-01-05T06:56:00.000Z,long,-10.284605637218558
2018-01-05 21:56:00+00:00,2018-01-05T21:56:00.000Z,long,-9.660410933745878
2018-01-06 12:56:00+00:00,2018-01-06T12:56:00.000Z,long,-8.331283239841959
2018-01-07 03:56:00+00:00,2018-01-07T03:56:00.000Z,long,-6.68211265657781
2018-01-07 18:56:00+00:00,2018-01-07T18:56:00.000Z,long,-5.810762516523482
2018-01-08 09:56:00+00:00,2018-01-08T09:56:00.000Z,long,-6.569924485876211
2018-01-09 00:56:00+00:00,2018-01-09T00:56:00.000Z,long,-6.914601068339077
2018-01-09 15:56:00+00:00,2018-01-09T15:56:00.000Z,long,-8.582115379369926
2018-01-10 06:56:00+00:00,2018-01-10T06:56:00.000Z,long,-9.15626450624516
2018-01-10 21:56:00+00:00,2018-01-10T21:56:00.000Z,long,-8.588423505515784
2018-01-11 12:56:00+00:00,2018-01-11T12:56:00.000Z,long,-7.111133665952085
2018-01-12 03:56:00+00:00,2018-01-12T03:56:00.000Z,long,-5.57395231229012
2018-01-12 18:56:00+00:00,2018-01-12T18:56:00.000Z,long,-2.4412926857871886
2018-01-13 09:56:00+00:00,2018-01-13T09:56:00.000Z,long,-1.5337114683437125
2018-01-14 00:56:00+00:00,2018-01-14T00:56:00.000Z,long,-1.553626811005726
2018-01-14 15:56:00+00:00,2018-01-14T15:56:00.000Z,long,-2.1724820354925622
2018-01-15 06:56:00+00:00,2018-01-15T06:56:00.000Z,long,-2.543794311720604
2018-01-15 21:56:00+00:00,2018-01-15T21:56:00.000Z,long,-1.1113900809184507
2018-01-16 12:56:00+00:00,2018-01-16T12:56:00.000Z,short,2.9052863399316675
2018-01-17 03:56:00+00:00,2018-01-17T03:56:00.000Z,short,7.124685620618044
2018-01-17 18:56:00+00:00,2018-01-17T18:56:00.000Z,short,11.240422325198796
2018-01-18 09:56:00+00:00,2018-01-18T09:56:00.000Z,short,14.597884948521077
2018-01-19 00:56:00+00:00,2018-01-19T00:56:00.000Z,short,13.184585018617788
2018-01-19 15:56:00+00:00,2018-01-19T15:56:00.000Z,short,8.401254522966706
2018-01-20 06:56:00+00:00,2018-01-20T06:56:00.000Z,short,1.9447540267624186
2018-01-20 21:56:00+00:00,2018-01-20T21:56:00.000Z,long,-1.9845028521416896
2018-01-21 12:56:00+00:00,2018-01-21T12:56:00.000Z,long,-4.919179221929548
2018-01-22 03:56:00+00:00,2018-01-22T03:56:00.000Z,long,-4.652258758554306
2018-01-22 18:56:00+00:00,2018-01-22T18:56:00.000Z,long,-1.7264362196379723
2018-01-23 09:56:00+00:00,2018-01-23T09:56:00.000Z,short,2.955077024167918
2018-01-24 00:56:00+00:00,2018-01-24T00:56:00.000Z,short,4.417253308926372
2018-01-24 15:56:00+00:00,2018-01-24T15:56:00.000Z,short,4.29282296728819
